1	的	1682530	14.3358091709513
1	我	1682285	14.335663546303
1	你	1329424	14.1002563236838
1	是	947807	13.7619061740127
1	了	946365	13.7603836087139
1	不	689161	13.4432301946871
1	在	429766	12.9709961535003
1	他	397653	12.8933350446797
1	我们	371696	12.8258315948607
1	好	334698	12.7209839116811
1	有	289109	12.5745590586164
1	这	286987	12.5671921975486
2	就	276636	12.5304578415876
1	会	265929	12.4909846348418
1	吗	249187	12.4259588976005
2	要	238656	12.3827784635385
1	什么	236517	12.3737753659375
1	说	226955	12.3325070389264
1	她	221420	12.3078166294135
1	想	212185	12.2652138146333
1	一	203626	12.2240402568806
1	很	200584	12.2089883906111
2	知道	196745	12.1896637529961
1	人	194914	12.1803137146244
2	吧	194084	12.1760463340232
1	那	190087	12.1552371410777
1	来	185154	12.1289431902132
1	都	177619	12.0873960858
1	个	173905	12.0662644520855
1	能	166656	12.0236870866881
1	去	163054	12.0018367132686
1	和	150418	11.9211733641878
2	到	139534	11.8460635781454
1	对	132805	11.7966371659181
2	也	131801	11.7890484882752
3	啊	130963	11.7826701195407
2	还	130326	11.7777942827317
3	把	124534	11.7323340499734
2	让	123809	11.7264953344901
1	做	122364	11.7147554881522
2	给	117218	11.67179072795
1	上	114371	11.6472028292887
2	过	112388	11.6297124491765
1	没有	108237	11.5920785462743
2	得	105189	11.563514011081
1	看	102546	11.5380667573766
2	真	102445	11.5370813481813
2	着	100091	11.5138350511712
1	怎么	89166	11.3982550799866
1	现在	88120	11.3864548009163
2	可以	79198	11.2797063249584
1	点	77665	11.260159984422
1	呢	76752	11.2483347237418
3	如果	76417	11.2439604634913
3	只	72698	11.1940691528268
2	别	69865	11.1543200875145
6	哦	69380	11.1473539205237
3	被	65695	11.0927780980759
2	走	65258	11.0861039230335
1	太	65151	11.0844629316294
1	里	63276	11.0552613893185
3	跟	62979	11.0505566164724
2	告诉	61222	11.0222618810282
2	因为	59823	10.9991454813778
3	自己	57978	10.9678189072274
1	再	56520	10.9423498367985
1	听	54888	10.9130500243707
2	快	53510	10.8876238313053
1	谁	52782	10.8739255024807
2	但是	52718	10.8727122321897
1	多	52605	10.8705664512424
3	用	52436	10.8673486573177
1	时候	52176	10.8623778980291
1	下	51975	10.8585181127262
2	已经	51772	10.8546047415623
1	谢谢	51457	10.8485017864294
2	为什么	51063	10.8408154434761
2	觉得	51047	10.8405020559503
3	像	50229	10.8243478281247
2	它	49024	10.8000652531003
2	从	47313	10.7645403781557
1	先生	46864	10.7550050690675
2	找	46647	10.7503638955259
2	最	46464	10.7464330981845
1	喜欢	46146	10.7395655622851
2	为	45565	10.7268951569302
1	大	45061	10.715772406372
2	可能	44424	10.7015351429214
3	需要	44362	10.7001385261107
4	死	44056	10.6932168309423
2	次	43873	10.6890543756836
1	出	42784	10.6639194799017
3	干	41651	10.6370806569106
6	嘿	41175	10.6255865550458
3	而	39381	10.5810387454715
1	东西	38127	10.5486779715502
3	应该	37811	10.5403553445649
2	孩子	37243	10.5252192866855
3	起来	37205	10.5241984398314
2	所以	37014	10.5190514984377
3	才	36716	10.510967906339
2	两	36580	10.5072569219449
2	错	36166	10.4958747299449
3	又	35561	10.4790048107173
1	小	34967	10.4621600385593
1	叫	34648	10.4529952828945
5	嗯	34639	10.4527354938994
2	等	34016	10.4345862811417
2	问题	33364	10.4152327533615
2	一起	32889	10.4008935343427
3	拿	32361	10.3847092730435
3	更	32253	10.3813663411533
2	开始	32126	10.3774209501177
1	爱	31122	10.3456702435795
3	带	31069	10.3439658164813
2	时间	30703	10.3321156486707
1	年	30648	10.3303226863805
1	请	30598	10.3286899263273
1	回	30259	10.3175489398697
1	工作	30191	10.3152991457032
3	然后	29752	10.3006516356049
3	当	29619	10.2961713262796
1	钱	29221	10.2826429078539
3	一样	28861	10.2702464817622
2	事情	28176	10.246225830736
1	吃	27913	10.2368478091093
4	所有	27749	10.2309550824892
1	开	27382	10.2176411421937
2	一下	27171	10.2099055070431
1	家	27026	10.204554644598
2	非常	26976	10.2027028608016
2	希望	26658	10.190844572164
1	哪	26385	10.1805509458398
3	当然	26313	10.1778183926195
4	也许	26083	10.1690390400999
3	行	26032	10.1670818294588
1	朋友	26017	10.1665054494932
1	妈妈	25730	10.1554129052758
3	相信	25699	10.1542073596204
6	嗨	25335	10.13994211791
3	认为	25294	10.1383224924399
1	今天	24750	10.1165807679968
3	明白	24744	10.1163383143649
3	一直	24551	10.1085078655907
5	杀	23405	10.0607049537342
3	地方	23358	10.0586948168385
4	不过	23333	10.0576239465471
4	发生	22602	10.0257936769201
1	几	22431	10.018199209668
2	准备	22202	10.0079376538926
1	爸爸	21930	9.99561084141193
4	一切	21709	9.98548220008876
4	抱歉	21563	9.97873416191067
2	比	21371	9.96979014179019
4	感觉	21315	9.96716632919931
1	些	21286	9.96580485860099
1	怎么样	20986	9.95161082771786
1	对不起	20548	9.93051889158716
2	问	20455	9.9259826303635
3	离开	20359	9.92127835354468
3	一定	20273	9.91704523046819
3	还是	19998	9.9033875475358
3	发现	19774	9.89212322245708
2	所	19715	9.88913504631173
1	住	19602	9.88338688082913
2	件	19568	9.88165085792695
2	正	19536	9.88001419635049
3	而且	19404	9.87323450936511
3	必须	19320	9.86889610776651
2	意思	19239	9.86469474781697
3	放	19099	9.85739125664315
4	肯定	18531	9.82720028436401
3	为了	18274	9.81323456355857
5	搞	18263	9.81263243419204
4	棒	18253	9.81208472906278
2	第一	18192	9.80873721599032
3	地	18009	9.79862691191995
2	进	17634	9.77758413564697
2	大家	17458	9.7675532752953
